TramoN,Nombre,Cuadrante,Sector,Latitud,Longitud
1,"OLTEN",113,"La Dehesa",-33.324548,-70.503843
2,"CAMINO LOS LOTOS",113,"La Dehesa",-33.339113,-70.493721
3,"PARQUE EL SOL",113,"La Dehesa",-33.345862,-70.507699
4,"LA CUMBRE / EL ESTANQUE",113,"La Dehesa",-33.32433,-70.510591
5,"GOLF DE MANQUEHUE LAS HUALTATAS",113A,"La Dehesa",-33.337799,-70.54238
6,"GOLF LOMAS DE LA DEHESA",113A,"La Dehesa",-33.337895,-70.537485
7,"EXPLANADA LOS NOGALES",113A,"La Dehesa",-33.323113,-70.532466
8,"LA DEHESA PANORÁMICA SUR",113A,"La Dehesa",-33.334036,-70.52146
9,"COPEC LOS TRAPENSES",114,"Los Trapenses",-33.353709,-70.539872
10,"LOS LITRES",114A,"Manquehue",-33.316007,-70.551707
11,"LOS BRAVOS",114A,"Manquehue",-33.323344,-70.569764
12,"CERRO MANQUEHUE",114A,"Manquehue",-33.344044,-70.56767
13,"CAMINO REAL / PUENTE PIEDRA",114A,"Manquehue",-33.32479,-70.551673
14,"CENTRAL LBS",115,"Nido de Águilas",-33.351674,-70.508234
15,"COLEGIO NIDO DE ÁGUILAS",115,"Nido de Águilas",-33.352488,-70.501165
16,"PADRE ARTEAGA / RAÚL LABBÉ",115,"Nido de Águilas",-33.362717,-70.508778
17,"PARQUE DE LA CHILENIDAD",115,"Nido de Águilas",-33.355693,-70.493379
18,"PORTAL LA DEHESA",115,"Nido de Águilas",-33.35766,-70.517032
19,"PLAZA NIDO DE ÁGUILAS",115,"Nido de Águilas",-33.354345,-70.507821
20,"SKATEPARK",115,"Nido de Águilas",-33.362338,-70.500918
21,"CCS9",115,"Nido de Águilas",-33.364262,-70.507357
22,"VIRGEN PEREGRINA",116,"San Enrique",-33.365726,-70.501361
23,"CAMINO TURÍSTICO",116A,"San Enrique",-33.36738,-70.532718
24,"PLAZA EL CANELO",116A,"San Enrique",-33.360128,-70.535397
25,"CAMINO HUALLALOLÉN",117,"El Arrayán",-33.342206,-70.465699
26,"PASTOR FERNÁNDEZ",117,"El Arrayán",-33.360933,-70.480157
27,"HIJUELAS DEL ARRAYÁN",117,"El Arrayán",-33.346766,-70.480199
28,"ÁGUILA 1",116,"San Enrique",-33.365524,-70.513791
29,"PLAZA SAN ENRIQUE",116,"San Enrique",-33.36314,-70.493467
30,"EL RODEO / LA DEHESA",115,"Nido de Águilas",-33.353405,-70.518522
31,"CAPILLA EMAÚS",117,"El Arrayán",-33.344307,-70.470542
32,"PASTOR FERNÁNDEZ / EL CAJÓN",117,"El Arrayán",-33.360923,-70.480169
33,"CERRO BLANCO",114,"Los Trapenses",-33.361402,-70.547872
34,"EL OFICIO / LAS PATAGUAS",114,"Los Trapenses",-33.350431,-70.533676
35,"GOLF DE MANQUEHUE / EL PARQUE",114,"Los Trapenses",-33.337017,-70.548024
36,"CAMINO CENTRAL ACCESO C. DEL MEDIO",113A,"La Dehesa",-33.349812,-70.522785
37,"JUAN PABLO II",116,"San Enrique",-33.365722,-70.513664
38,"PASEO ALCALÁ / PASEO EL CID",113A,"La Dehesa",-33.323074,-70.535866
39,"LAS HUALTATAS / PIE ANDINO",113A,"La Dehesa",-33.323429,-70.538711
40,"LA DEHESA 4580",113A,"La Dehesa",-33.328298,-70.519661
41,"BASEL / LOS ALPES",113,"La Dehesa",-33.330189,-70.513922
42,"PARQUE SUR / HACIENDA",113,"La Dehesa",-33.333308,-70.51403
43,"BOULEVARD DE LOS PÁJAROS",114A,"Manquehue",-33.324711,-70.551649
44,"GRAN VISTA / MANQUECURA",114A,"Manquehue",-33.337376,-70.566345
45,"PUNTA DE ÁGUILAS / CAMINO LA HUERTA",114A,"Manquehue",-33.345629,-70.555228
46,"VALLE MONASTERIO / C. EL CIELO",114,"Los Trapenses",-33.347347,-70.546792
47,"ASCONA / EL PEUMO",113,"La Dehesa",-33.332583,-70.507847
48,"LOS CACTUS / EL TRANQUE",113A,"La Dehesa",-33.35976,-70.520524
49,"HUINGANAL / PIE ANDINO",113,"La Dehesa",-33.333179,-70.506116
50,"LOS QUINCHEROS / CERRO 18",115,"Nido de Águilas",-33.356625,-70.503226
51,"ETAPA 1 POBLACIÓN ERMITA (DOCK2)",116,"San Enrique",-33.363642,-70.498588
52,"LAS LOMAS 1 Y 2 (DOCK2)",116,"San Enrique",-33.363354,-70.502835
53,"ERMITA / VIRGEN PEREGRINA",116,"San Enrique",-33.365737,-70.501359
54,"GOLF DE MANQUEHUE / PADRE TED HUARD",114A,"Manquehue",-33.337079,-70.551525
55,"EL YUNQUE",113,"La Dehesa",-33.337891,-70.49912
56,"CAMINO EL OFICIO / EL TORDILLO",114,"Los Trapenses",-33.347548,-70.538252
57,"VALLE MONASTERIO 2332",114,"Los Trapenses",-33.352825,-70.545777
58,"AGUAS BLANCAS / AGUAS CLARAS",114,"Los Trapenses",-33.358898,-70.546675
59,"PUNTA DE ÁGUILAS 9300",114A,"Manquehue",-33.336361,-70.562333
60,"CAMINO REAL / PEDRO LIRA URQUIETA",114A,"Manquehue",-33.328649,-70.547997
61,"LOMAS DE LA CRUZ 400",114,"Los Trapenses",-33.35304,-70.542987
62,"LA DEHESA / LA CUMBRE",113A,"La Dehesa",-33.322895,-70.518723
63,"CAMINO EL SOL (REF. N° 3775)",113,"La Dehesa",-33.336635,-70.49811
64,"VALLE ESCONDIDO",113,"La Dehesa",-33.340142,-70.49208
65,"ROTONDA LOS TRAPENSES",114,"Los Trapenses",-33.343064,-70.546146
66,"CAMINO TURÍSTICO / RAÚL LABBÉ",116A,"San Enrique",-33.368526,-70.519857
67,"PARQUE LAS HUALTATAS",113A,"La Dehesa",-33.350541,-70.533751
68,"AGUAS CLARAS 350",114,"Los Trapenses",-33.355255,-70.546554
69,"CAMINO EL QUILLAY",113,"La Dehesa",-33.342874,-70.498981
